model,language,category,total,correct,accuracy
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,health,35,18,0.514286
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,economics,42,26,0.619048
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,math,68,49,0.720588
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,physics,65,44,0.676923
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,computer science,20,10,0.5
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,philosophy,25,9,0.36
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,engineering,48,14,0.291667
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,all,588,327,0.556122
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,business,40,25,0.625
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,law,48,10,0.208333
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,psychology,40,25,0.625
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,biology,36,27,0.75
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,chemistry,56,36,0.642857
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,history,19,7,0.368421
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,other,46,18,0.391304
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,health,35,21,0.6
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,economics,42,31,0.738095
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,math,68,48,0.705882
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,physics,65,42,0.646154
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,computer science,20,11,0.55
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,philosophy,25,11,0.44
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,es,engineering,48,15,0.3125
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,all,588,331,0.562925
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,business,40,28,0.7
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,law,48,12,0.25
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,psychology,40,23,0.575
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,biology,36,30,0.833333
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,chemistry,56,32,0.571429
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,history,19,6,0.315789
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,other,46,21,0.456522
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,health,35,21,0.6
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,economics,42,32,0.761905
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,math,68,49,0.720588
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,physics,65,42,0.646154
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,computer science,20,10,0.5
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,philosophy,25,12,0.48
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,vi,engineering,48,13,0.270833
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,all,588,247,0.420068
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,business,40,20,0.5
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,law,48,5,0.104167
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,psychology,40,22,0.55
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,biology,36,22,0.611111
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,chemistry,56,20,0.357143
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,history,19,7,0.368421
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,other,46,21,0.456522
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,health,35,15,0.428571
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,economics,42,20,0.47619
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,math,68,41,0.602941
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,physics,65,23,0.353846
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,computer science,20,7,0.35
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,philosophy,25,9,0.36
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,es,engineering,48,15,0.3125
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,all,588,231,0.392857
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,business,40,16,0.4
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,law,48,8,0.166667
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,psychology,40,17,0.425
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,biology,36,23,0.638889
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,chemistry,56,16,0.285714
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,history,19,5,0.263158
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,other,46,18,0.391304
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,health,35,17,0.485714
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,economics,42,17,0.404762
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,math,68,39,0.573529
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,physics,65,24,0.369231
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,computer science,20,8,0.4
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,philosophy,25,9,0.36
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,vi,engineering,48,14,0.291667
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,all,588,158,0.268707
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,business,40,12,0.3
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,law,48,9,0.1875
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,psychology,40,12,0.3
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,biology,36,17,0.472222
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,chemistry,56,19,0.339286
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,history,19,6,0.315789
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,other,46,8,0.173913
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,health,35,9,0.257143
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,economics,42,10,0.238095
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,math,68,25,0.367647
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,physics,65,11,0.169231
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,computer science,20,4,0.2
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,philosophy,25,5,0.2
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,zu,engineering,48,11,0.229167
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,all,588,185,0.314626
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,business,40,16,0.4
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,law,48,9,0.1875
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,psychology,40,13,0.325
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,biology,36,16,0.444444
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,chemistry,56,10,0.178571
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,history,19,3,0.157895
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,other,46,17,0.369565
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,health,35,10,0.285714
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,economics,42,12,0.285714
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,math,68,34,0.5
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,physics,65,25,0.384615
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,computer science,20,6,0.3
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,philosophy,25,7,0.28
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,sw,engineering,48,7,0.145833
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,all,588,216,0.367347
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,business,40,18,0.45
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,law,48,5,0.104167
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,psychology,40,20,0.5
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,biology,36,19,0.527778
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,chemistry,56,17,0.303571
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,history,19,6,0.315789
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,other,46,13,0.282609
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,health,35,10,0.285714
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,economics,42,17,0.404762
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,math,68,36,0.529412
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,physics,65,25,0.384615
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,computer science,20,8,0.4
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,philosophy,25,6,0.24
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,ar,engineering,48,16,0.333333
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,all,588,227,0.386054
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,business,40,16,0.4
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,law,48,5,0.104167
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,psychology,40,16,0.4
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,biology,36,25,0.694444
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,chemistry,56,22,0.392857
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,history,19,5,0.263158
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,other,46,18,0.391304
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,health,35,13,0.371429
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,economics,42,17,0.404762
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,math,68,38,0.558824
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,physics,65,24,0.369231
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,computer science,20,6,0.3
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,philosophy,25,7,0.28
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,de,engineering,48,15,0.3125
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,all,588,259,0.440476
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,business,40,21,0.525
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,law,48,5,0.104167
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,psychology,40,20,0.5
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,biology,36,24,0.666667
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,chemistry,56,19,0.339286
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,history,19,7,0.368421
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,other,46,24,0.521739
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,en,health,35,18,0.514286
